Tarih,Toplam Vaka Sayısı,Yeni Vaka Sayısı,Ölüm Sayısı,Yapılan Test Sayısı
2020-03-11,1,1,0,0
2020-03-12,1,0,0,0
2020-03-13,5,4,0,0
2020-03-14,6,1,0,0
2020-03-15,18,12,0,0
2020-03-16,47,29,1,0
2020-03-17,98,51,1,0
2020-03-18,191,93,2,0
2020-03-19,359,168,4,1981
2020-03-20,670,311,9,3656
2020-03-21,947,277,21,2953
2020-03-22,1256,309,30,0
2020-03-23,1549,293,37,3672
2020-03-24,1872,323,44,3952
2020-03-25,2433,561,59,5035
2020-03-26,3629,1196,75,7286
2020-03-27,5698,2069,92,7533
2020-03-28,7402,1704,108,7641
2020-03-29,9217,1815,131,9982
2020-03-30,10827,1610,168,11535
2020-03-31,13531,2704,214,15422
2020-04-01,15679,2148,277,14396
2020-04-02,18135,2456,356,18757
2020-04-03,20921,2786,425,16160
2020-04-04,23934,3013,501,19664
2020-04-05,27069,3135,574,20065
2020-04-06,30217,3148,649,21400
2020-04-07,34109,3892,725,20023
2020-04-08,38226,4117,812,24900
2020-04-09,42282,4056,908,28578
2020-04-10,47029,4747,1006,30864
2020-04-11,52167,5138,1101,33170
2020-04-12,56956,4789,1198,35720
2020-04-13,61049,4093,1296,34456
2020-04-14,65111,4062,1403,33070
2020-04-15,69392,4281,1518,34090
2020-04-16,74193,4801,1643,40427
2020-04-17,78546,4353,1769,40270
2020-04-18,82329,3783,1890,40520
2020-04-19,86306,3977,2017,35344
2020-04-20,90980,4674,2140,39703
2020-04-21,95591,4611,2259,39429
